File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
5345.png,4,[     47.571      44.186      47.494      44.595],0,[]
5346.png,10,[     38.989      36.136       39.59       36.66      37.662      36.932      36.635      22.711      22.631       24.07],4,[     633.33      2228.1      845.87      125.53]
5347.png,12,[     61.845      61.654      35.554      62.168      35.859      62.124      36.036      36.237      27.255      28.301       17.98       14.07],4,[     1668.9      1680.3      452.18       680.4]
5348.png,9,[     23.303      21.137      23.186      22.429       22.91      19.622      23.919      21.137      23.919],0,[]
5349.png,0,0,0,[0]
5350.png,3,[     36.212      37.638      38.402],1,[     2283.7]
5351.png,0,0,0,[0]
5352.png,4,[     30.494      30.996       29.71      22.226],2,[     252.48      192.57]
5353.png,5,[     49.954       34.12      34.359      34.987      33.691],0,[]
5354.png,0,0,0,[0]
5355.png,11,[     40.965      36.734      36.061      36.784      40.069      38.615      39.932      39.059       37.03       37.42      36.734],3,[     467.87      467.87      452.18]
5356.png,2,[     29.402      29.526],1,[     149.77]
5357.png,4,[     33.257      24.258      24.407      21.051],0,[]
5358.png,12,[     43.523      42.998      43.461      43.481      43.669      31.806      43.251      31.977      28.075      28.108      18.722      18.915],1,[      480.7]
5359.png,0,0,0,[0]
5360.png,6,[     42.102      40.676      17.311      19.806      18.963      18.478],1,[     526.35]
5361.png,2,[      46.82      48.684],3,[     731.75       550.6       453.6]
5362.png,4,[     50.298      49.424      21.137      22.144],21,[     335.21      1479.2      633.33        1017      1175.4        1154      322.37      1061.3      827.32      1035.6      1079.8      1457.8      1420.7      1068.4      3403.4      1069.8      941.44      476.42      1236.7      3076.8      290.99]
5363.png,7,[     37.493      37.541       37.25      23.029      15.425      40.137      23.029],3,[     718.92       901.5      731.75]
5364.png,3,[      41.12      31.288      31.577],1,[     349.47]
5365.png,2,[     49.203      48.196],0,[]
5366.png,4,[     42.253      43.041      48.366      60.299],0,[]
5367.png,4,[     24.666       24.85      31.404      30.494],4,[     2208.1      290.99      473.57       248.2]
5368.png,14,[     51.193      51.388      51.229      50.461      51.494       50.73      50.586      51.828      50.676      50.944      50.335      50.676      50.586      50.676],2,[     1807.3      232.51]
5369.png,4,[       51.6      47.264      47.091      46.956],1,[     947.14]
5370.png,0,0,0,[0]
5371.png,2,[     37.926      39.613],3,[     175.45      219.67      693.24]
5372.png,4,[     40.452       41.12      40.385      40.721],3,[     1255.3      746.02       253.9]
5373.png,7,[     71.654      70.388      41.384      32.456      34.464      34.491      25.499],4,[     9457.2      3550.4      9317.4      5531.7]
5374.png,5,[     23.303      13.477      13.273      23.342       22.47],2,[     155.48      413.66]
5375.png,2,[     38.189      38.189],0,[]
